opcode: 0x00000013, rd: 2, operand1: 0, operand2: 31, imm: 2047, func3: 0, func7: 63
opcode: 0x0000006f, rd: 1, operand1: 0, operand2: 12, imm: 44, func3: 0, func7: 1
opcode: 0x00000037, rd: 15, operand1: 0, operand2: 0, imm: 4096, func3: 1, func7: 0
opcode: 0x00000023, rd: 12, operand1: 15, operand2: 0, imm: -2036, func3: 0, func7: 64
opcode: 0x00000003, rd: 15, operand1: 10, operand2: 0, imm: 0, func3: 4, func7: 0
opcode: 0x00000063, rd: 24, operand1: 15, operand2: 0, imm: 12, func3: 0, func7: 0
opcode: 0x00000037, rd: 14, operand1: 0, operand2: 0, imm: 4096, func3: 1, func7: 0
opcode: 0x00000013, rd: 10, operand1: 10, operand2: 1, imm: 1, func3: 0, func7: 0
opcode: 0x00000023, rd: 0, operand1: 14, operand2: 15, imm: -2048, func3: 0, func7: 64
opcode: 0x00000003, rd: 15, operand1: 10, operand2: 0, imm: 0, func3: 4, func7: 0
opcode: 0x00000063, rd: 21, operand1: 15, operand2: 0, imm: -22, func3: 1, func7: 127
opcode: 0x00000067, rd: 0, operand1: 1, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000013, rd: 2, operand1: 2, operand2: 16, imm: -16, func3: 0, func7: 127
opcode: 0x00000023, rd: 12, operand1: 2, operand2: 1, imm: 12, func3: 2, func7: 0
opcode: 0x00000013, rd: 10, operand1: 0, operand2: 16, imm: 80, func3: 0, func7: 2
opcode: 0x0000006f, rd: 1, operand1: 31, operand2: 21, imm: -44, func3: 7, func7: 126
opcode: 0x00000013, rd: 10, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000003, rd: 1, operand1: 2, operand2: 12, imm: 12, func3: 2, func7: 0
opcode: 0x00000013, rd: 2, operand1: 2, operand2: 16, imm: 16, func3: 0, func7: 0
opcode: 0x00000067, rd: 0, operand1: 1, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000048, rd: 10, operand1: 24, operand2: 6, imm: 0, func3: 6, func7: 54
opcode: 0x0000006f, rd: 24, operand1: 0, operand2: 18, imm: 1906, func3: 2, func7: 59
opcode: 0x0000006f, rd: 4, operand1: 24, operand2: 6, imm: 5702, func3: 7, func7: 50
opcode: 0x00000021, rd: 20, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
opcode: 0x00000000, rd: 0, operand1: 0, operand2: 0, imm: 0, func3: 0, func7: 0
